"Time","limits","requests","usage"
2021-03-08 16:03:10,4.7,2.4,
2021-03-08 16:03:15,4.7,2.4,0.028
2021-03-08 16:03:20,4.7,2.4,0.028
2021-03-08 16:03:25,4.7,2.4,0.028
2021-03-08 16:03:30,4.7,2.4,0.028
2021-03-08 16:03:35,4.7,2.4,0.028
2021-03-08 16:03:40,4.7,2.4,0.028
2021-03-08 16:03:45,4.7,2.4,0.042
2021-03-08 16:03:50,4.7,2.4,0.042
2021-03-08 16:03:55,4.7,2.4,0.042
2021-03-08 16:04:00,4.7,2.4,0.042
2021-03-08 16:04:05,4.7,2.4,0.042
2021-03-08 16:04:10,4.7,2.4,0.042
2021-03-08 16:04:15,4.7,2.4,0.056
2021-03-08 16:04:20,4.7,2.4,0.056
2021-03-08 16:04:25,4.7,2.4,0.056
2021-03-08 16:04:30,4.7,2.4,0.056
2021-03-08 16:04:35,4.7,2.4,0.056
2021-03-08 16:04:40,4.7,2.4,0.056
2021-03-08 16:04:45,4.7,2.4,0.092
2021-03-08 16:04:50,4.7,2.4,0.092
2021-03-08 16:04:55,4.7,2.4,0.092
2021-03-08 16:05:00,4.7,2.4,0.092
2021-03-08 16:05:05,4.7,2.4,0.092
2021-03-08 16:05:10,4.7,2.4,0.092
2021-03-08 16:05:15,4.7,2.4,0.15
2021-03-08 16:05:20,4.7,2.4,0.15
2021-03-08 16:05:25,4.7,2.4,0.15
2021-03-08 16:05:30,4.7,2.4,0.15
2021-03-08 16:05:35,4.7,2.4,0.15
2021-03-08 16:05:40,4.7,2.4,0.15
2021-03-08 16:05:45,4.7,2.4,0.22
2021-03-08 16:05:50,4.7,2.4,0.22
2021-03-08 16:05:55,4.7,2.4,0.22
2021-03-08 16:06:00,4.7,2.4,0.22
2021-03-08 16:06:05,4.7,2.4,0.22
2021-03-08 16:06:10,4.7,2.4,0.22
2021-03-08 16:06:15,4.7,2.4,0.28
2021-03-08 16:06:20,4.7,2.4,0.28
2021-03-08 16:06:25,4.7,2.4,0.28
2021-03-08 16:06:30,4.7,2.4,0.28
2021-03-08 16:06:35,4.7,2.4,0.28
2021-03-08 16:06:40,4.7,2.4,0.28
2021-03-08 16:06:45,4.7,2.4,0.36
2021-03-08 16:06:50,4.7,2.4,0.36
2021-03-08 16:06:55,4.7,2.4,0.36
2021-03-08 16:07:00,4.7,2.4,0.36
2021-03-08 16:07:05,4.7,2.4,0.36
2021-03-08 16:07:10,4.7,2.4,0.36
2021-03-08 16:07:15,4.7,2.4,0.45
2021-03-08 16:07:20,4.7,2.4,0.45
2021-03-08 16:07:25,4.7,2.4,0.45
